CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,MEASYEAR,LVSHRBCD,DSHRBCD,LVHRBCD,DHRBCD,LITTERCD,LVSHRBHT,DSHRBHT,LVHRBHT,DHRBHT,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,MICR_SAMPLE_METHOD
76441163010538,52887146010538,2001,23,17,1630,4,2001,0,0,99,0,30.0,0.0,0.0,0.4,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441178010538,52910028010538,2001,23,19,277,1,2001,0,0,1,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441177010538,52910028010538,2001,23,19,277,2,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441176010538,52910028010538,2001,23,19,277,3,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:18,489998,1
76441175010538,52910028010538,2001,23,19,277,4,2001,10,0,40,0,99.0,0.4,0.0,0.4,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441130010538,52896389010538,2001,23,19,329,1,2001,0,0,10,80,99.0,0.0,0.0,0.8,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441129010538,52896389010538,2001,23,19,329,2,2001,0,0,10,0,99.0,0.0,0.0,1.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441128010538,52896389010538,2001,23,19,329,3,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441127010538,52896389010538,2001,23,19,329,4,2001,0,0,1,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441190010538,52892334010538,2001,23,19,440,1,2001,0,0,20,0,99.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441189010538,52892334010538,2001,23,19,440,2,2001,0,0,1,0,50.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441188010538,52892334010538,2001,23,19,440,3,2001,0,0,60,10,10.0,0.0,0.0,0.2,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441187010538,52892334010538,2001,23,19,440,4,2001,0,0,10,0,80.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441182010538,52892868010538,2001,23,19,759,1,2001,0,0,20,0,80.0,0.0,0.0,1.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441181010538,52892868010538,2001,23,19,759,2,2001,0,0,99,1,0.0,0.0,0.0,1.0,1.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441180010538,52892868010538,2001,23,19,759,3,2001,0,0,90,0,30.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441179010538,52892868010538,2001,23,19,759,4,2001,0,0,30,0,90.0,0.0,0.0,0.6,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441221010538,52909880010538,2001,23,19,1145,1,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441220010538,52909880010538,2001,23,19,1145,2,2001,0,0,20,0,90.0,0.0,0.0,1.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441219010538,52909880010538,2001,23,19,1145,3,2001,0,0,10,0,99.0,0.0,0.0,1.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441218010538,52909880010538,2001,23,19,1145,4,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441238010538,52922003010538,2001,23,21,123,4,2001,1,0,40,0,80.0,0.5,0.0,0.9,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441241010538,52922003010538,2001,23,21,123,1,2001,0,0,10,0,99.0,0.0,0.0,0.5,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441240010538,52922003010538,2001,23,21,123,2,2001,10,0,30,0,90.0,1.2,0.0,0.5,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441239010538,52922003010538,2001,23,21,123,3,2001,10,0,30,0,90.0,1.2,0.0,1.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441248010538,52921695010538,2001,23,21,278,1,2001,1,0,30,0,50.0,1.5,0.0,0.1,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441247010538,52921695010538,2001,23,21,278,2,2001,0,0,70,1,80.0,0.0,0.0,0.3,0.1,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441246010538,52921695010538,2001,23,21,278,4,2001,0,0,80,1,10.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441201010538,52922083010538,2001,23,21,1080,1,2001,0,0,30,0,99.0,0.0,0.0,0.6,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441200010538,52922083010538,2001,23,21,1080,2,2001,0,0,80,0,80.0,0.0,0.0,2.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441199010538,52922083010538,2001,23,21,1080,3,2001,0,0,40,0,99.0,0.0,0.0,2.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441198010538,52922083010538,2001,23,21,1080,4,2001,0,0,90,0,80.0,0.0,0.0,4.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441194010538,52921847010538,2001,23,21,1193,1,2001,0,0,1,0,90.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441193010538,52921847010538,2001,23,21,1193,2,2001,0,0,1,0,80.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441192010538,52921847010538,2001,23,21,1193,3,2001,0,0,0,0,99.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441191010538,52921847010538,2001,23,21,1193,4,2001,0,0,1,0,50.0,0.0,0.0,0.4,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441149010538,52933107010538,2001,23,25,767,1,2001,10,0,20,0,99.0,2.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441148010538,52933107010538,2001,23,25,767,2,2001,20,1,20,0,99.0,1.0,1.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441147010538,52933107010538,2001,23,25,767,3,2001,0,0,1,0,99.0,0.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441146010538,52933107010538,2001,23,25,767,4,2001,20,0,10,0,99.0,1.0,0.0,0.1,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441197010538,52932732010538,2001,23,25,810,1,2001,0,0,60,10,20.0,0.0,0.0,4.0,1.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441196010538,52932732010538,2001,23,25,810,3,2001,0,0,80,0,20.0,0.0,0.0,3.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441195010538,52932732010538,2001,23,25,810,4,2001,0,0,40,1,20.0,0.0,0.0,2.0,0.1,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
76441209010538,52924806010538,2001,23,25,1207,1,2001,0,0,30,0,50.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441208010538,52924806010538,2001,23,25,1207,2,2001,0,0,0,0,0.0,0.0,0.0,0.0,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441207010538,52924806010538,2001,23,25,1207,3,2001,0,0,10,0,20.0,0.0,0.0,0.4,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441206010538,52924806010538,2001,23,25,1207,4,2001,0,0,40,0,90.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:05,489998,1
76441245010538,52932937010538,2001,23,25,1439,1,2001,0,0,10,0,80.0,0.0,0.0,0.2,0.0,NIMS,2007-11-19 11:54:40,10661,MAHATFIELD,2014-08-04 12:01:04,489998,1
