CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,TRANSECT,SEGMNT,MEASYEAR,CONDID,SLOPE_BEGNDIST,SLOPE_ENDDIST,SLOPE,HORIZ_LENGTH,HORIZ_BEGNDIST,HORIZ_ENDDIST,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_IN_INSTANCE,MODIFIED_DATE,SEGMNT_STATUS_CD,SEGMNT_NONSAMPLE_REASN_CD,TRANSECT_LENGTH
76461166010538,52863327010538,2001,23,3,647,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461167010538,52863327010538,2001,23,3,647,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:22,,,
76461112010538,52866435010538,2001,23,3,941,1,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461113010538,52866435010538,2001,23,3,941,1,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461115010538,52866435010538,2001,23,3,941,2,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461114010538,52866435010538,2001,23,3,941,2,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461117010538,52866435010538,2001,23,3,941,3,30,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461116010538,52866435010538,2001,23,3,941,3,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461118010538,52866435010538,2001,23,3,941,4,150,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
76461119010538,52866435010538,2001,23,3,941,4,270,1,2001,1,0.0,24.0,0,24.0,0.0,24.0,NIMS,2007-11-19 11:54:38,10661,FSTROFFE,290487,2022-04-18 09:41:23,,,
