CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,CONDID,MEASYEAR,SMALLCT,MEDIUMCT,LARGECT,RSNCTCD,PILESCD,SMALL_TL_COND,SMALL_TL_PLOT,SMALL_TL_UNADJ,MEDIUM_TL_COND,MEDIUM_TL_PLOT,MEDIUM_TL_UNADJ,LARGE_TL_COND,LARGE_TL_PLOT,LARGE_TL_UNADJ,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,FWD_STATUS_CD,FWD_NONSAMPLE_REASN_CD,FWD_SAMPLE_METHOD,SLOPE
76438973010538,52886981010538,2001,23,17,731,150,2,2,2001,23,3,7,0,0,10.0,40.0,40.0,10.0,40.0,40.0,10.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:28,290487,,,1,
76438972010538,52886981010538,2001,23,17,731,150,3,1,2001,5,3,0,0,0,30.0,40.0,40.0,30.0,40.0,40.0,30.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:28,290487,,,1,
76438971010538,52886981010538,2001,23,17,731,150,4,1,2001,37,3,1,0,0,30.0,40.0,40.0,30.0,40.0,40.0,30.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:28,290487,,,1,
76438986010538,52887146010538,2001,23,17,1630,150,1,1,2001,176,4,2,4,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438985010538,52887146010538,2001,23,17,1630,150,2,1,2001,63,11,3,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438984010538,52887146010538,2001,23,17,1630,150,3,1,2001,14,2,2,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438983010538,52887146010538,2001,23,17,1630,150,4,1,2001,115,35,10,4,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:30,290487,,,1,
76438998010538,52910028010538,2001,23,19,277,150,1,1,2001,10,10,5,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438997010538,52910028010538,2001,23,19,277,150,2,1,2001,29,12,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
76438996010538,52910028010538,2001,23,19,277,150,3,1,2001,11,6,0,0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,NIMS,2007-11-19 11:54:39,10661,FSTROFFE,2022-04-18 09:41:29,290487,,,1,
