CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
76432481010538,52865805010538,2001,23,3,958,150,2,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432485010538,52865805010538,2001,23,3,958,150,3,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432489010538,52865805010538,2001,23,3,958,150,4,2,2001,1,1.2,1.2,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432479010538,52865805010538,2001,23,3,958,270,1,2,2001,1,0.1,1.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432491010538,52865805010538,2001,23,3,958,270,4,2,2001,1,5.4,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432435010538,52898510010538,2001,23,3,1392,30,2,2,2001,1,1.2,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432439010538,52898510010538,2001,23,3,1392,30,3,2,2001,1,0.6,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432429010538,52898510010538,2001,23,3,1392,150,1,2,2001,1,7.6,0.8,0.5,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432433010538,52898510010538,2001,23,3,1392,150,2,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432437010538,52898510010538,2001,23,3,1392,150,3,2,2001,1,2.4,0.0,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432441010538,52898510010538,2001,23,3,1392,150,4,2,2001,1,2.2,0.2,2.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432431010538,52898510010538,2001,23,3,1392,270,1,2,2001,1,5.4,0.6,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432443010538,52898510010538,2001,23,3,1392,270,4,2,2001,1,0.5,0.7,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432575010538,52897435010538,2001,23,3,1418,30,2,2,2001,1,5.4,0.6,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432579010538,52897435010538,2001,23,3,1418,30,3,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432569010538,52897435010538,2001,23,3,1418,150,1,2,2001,1,10.8,1.2,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432573010538,52897435010538,2001,23,3,1418,150,2,2,2001,1,6.5,0.7,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
